nohup: ignoring input
============================================================
HAOA — Full Optimization Research Framework
============================================================

──────────────────────────────────────────────────
Running Benchmark: Sphere
──────────────────────────────────────────────────
Iteration 1/300 | Best Score: 13835.3788206379
Iteration 2/300 | Best Score: 10719.6993124698
Iteration 3/300 | Best Score: 10719.6993124698
Iteration 4/300 | Best Score: 10719.6993124698
Iteration 5/300 | Best Score: 8787.7826831170
Iteration 6/300 | Best Score: 8787.7826831170
Iteration 7/300 | Best Score: 8787.7826831170
Iteration 8/300 | Best Score: 8787.7826831170
Iteration 9/300 | Best Score: 8787.7826831170
Iteration 10/300 | Best Score: 8787.7826831170
Iteration 11/300 | Best Score: 8787.7826831170
Iteration 12/300 | Best Score: 7718.1545806694
Iteration 13/300 | Best Score: 7718.1545806694
Iteration 14/300 | Best Score: 6789.6954315358
Iteration 15/300 | Best Score: 6789.6954315358
Iteration 16/300 | Best Score: 6789.6954315358
Iteration 17/300 | Best Score: 6789.6954315358
Iteration 18/300 | Best Score: 6789.6954315358
Iteration 19/300 | Best Score: 6789.6954315358
Iteration 20/300 | Best Score: 6789.6954315358
Iteration 21/300 | Best Score: 6789.6954315358
Iteration 22/300 | Best Score: 6789.6954315358
Iteration 23/300 | Best Score: 6789.6954315358
Iteration 24/300 | Best Score: 6789.6954315358
Iteration 25/300 | Best Score: 6789.6954315358
Iteration 26/300 | Best Score: 6789.6954315358
Iteration 27/300 | Best Score: 6789.6954315358
Iteration 28/300 | Best Score: 6789.6954315358
Iteration 29/300 | Best Score: 6789.6954315358
Iteration 30/300 | Best Score: 6789.6954315358
Iteration 31/300 | Best Score: 6789.6954315358
Iteration 32/300 | Best Score: 6789.6954315358
Iteration 33/300 | Best Score: 6002.7616188579
Iteration 34/300 | Best Score: 4911.3328907772
Iteration 35/300 | Best Score: 4911.3328907772
Iteration 36/300 | Best Score: 4911.3328907772
Iteration 37/300 | Best Score: 4911.3328907772
Iteration 38/300 | Best Score: 4911.3328907772
Iteration 39/300 | Best Score: 4911.3328907772
Iteration 40/300 | Best Score: 4911.3328907772
Iteration 41/300 | Best Score: 4911.3328907772
Iteration 42/300 | Best Score: 4911.3328907772
Iteration 43/300 | Best Score: 4911.3328907772
Iteration 44/300 | Best Score: 4911.3328907772
Iteration 45/300 | Best Score: 4911.3328907772
Iteration 46/300 | Best Score: 4911.3328907772
Iteration 47/300 | Best Score: 4911.3328907772
Iteration 48/300 | Best Score: 4911.3328907772
Iteration 49/300 | Best Score: 4911.3328907772
Iteration 50/300 | Best Score: 4911.3328907772
Iteration 51/300 | Best Score: 4911.3328907772
Iteration 52/300 | Best Score: 4911.3328907772
Iteration 53/300 | Best Score: 4911.3328907772
Iteration 54/300 | Best Score: 4911.3328907772
Iteration 55/300 | Best Score: 4911.3328907772
Iteration 56/300 | Best Score: 4911.3328907772
Iteration 57/300 | Best Score: 4911.3328907772
Iteration 58/300 | Best Score: 4911.3328907772
Iteration 59/300 | Best Score: 4911.3328907772
Iteration 60/300 | Best Score: 4911.3328907772
Iteration 61/300 | Best Score: 4911.3328907772
Iteration 62/300 | Best Score: 4911.3328907772
Iteration 63/300 | Best Score: 4911.3328907772
Iteration 64/300 | Best Score: 4911.3328907772
Iteration 65/300 | Best Score: 4911.3328907772
Iteration 66/300 | Best Score: 4911.3328907772
Iteration 67/300 | Best Score: 4911.3328907772
Iteration 68/300 | Best Score: 4911.3328907772
Iteration 69/300 | Best Score: 4911.3328907772
Iteration 70/300 | Best Score: 4911.3328907772
Iteration 71/300 | Best Score: 4911.3328907772
Iteration 72/300 | Best Score: 4911.3328907772
Iteration 73/300 | Best Score: 4911.3328907772
Iteration 74/300 | Best Score: 4911.3328907772
Iteration 75/300 | Best Score: 4911.3328907772
Iteration 76/300 | Best Score: 4911.3328907772
Iteration 77/300 | Best Score: 4911.3328907772
Iteration 78/300 | Best Score: 4911.3328907772
Iteration 79/300 | Best Score: 4911.3328907772
Iteration 80/300 | Best Score: 4911.3328907772
Iteration 81/300 | Best Score: 4911.3328907772
Iteration 82/300 | Best Score: 4911.3328907772
Iteration 83/300 | Best Score: 4911.3328907772
Iteration 84/300 | Best Score: 4911.3328907772
Iteration 85/300 | Best Score: 4911.3328907772
Iteration 86/300 | Best Score: 4097.3856565446
Iteration 87/300 | Best Score: 4097.3856565446
Iteration 88/300 | Best Score: 4097.3856565446
Iteration 89/300 | Best Score: 4097.3856565446
Iteration 90/300 | Best Score: 4097.3856565446
Iteration 91/300 | Best Score: 4097.3856565446
Iteration 92/300 | Best Score: 4097.3856565446
Iteration 93/300 | Best Score: 4097.3856565446
Iteration 94/300 | Best Score: 4097.3856565446
Iteration 95/300 | Best Score: 4097.3856565446
Iteration 96/300 | Best Score: 4097.3856565446
Iteration 97/300 | Best Score: 4097.3856565446
Iteration 98/300 | Best Score: 4097.3856565446
Iteration 99/300 | Best Score: 4097.3856565446
