Benchmark,Iteration,Best Score
Sphere,1,19974.25520291522
Sphere,2,18922.72159385934
Sphere,3,18922.72159385934
Sphere,4,15863.087282490129
Sphere,5,15863.087282490129
Sphere,6,12771.201673676038
Sphere,7,12771.201673676038
Sphere,8,3377.4457671240248
Sphere,9,3377.4457671240248
Sphere,10,3377.4457671240248
Sphere,11,3377.4457671240248
Sphere,12,3377.4457671240248
Sphere,13,3377.4457671240248
Sphere,14,3377.4457671240248
Sphere,15,3377.4457671240248
Sphere,16,3377.4457671240248
Sphere,17,3377.4457671240248
Sphere,18,3377.4457671240248
Sphere,19,3377.4457671240248
Sphere,20,3377.4457671240248
Sphere,21,3377.4457671240248
Sphere,22,3377.4457671240248
Sphere,23,3377.4457671240248
Sphere,24,3377.4457671240248
Sphere,25,3377.4457671240248
Sphere,26,3377.4457671240248
Sphere,27,3377.4457671240248
Sphere,28,3377.4457671240248
Sphere,29,3377.4457671240248
Sphere,30,3377.4457671240248
Sphere,31,3377.4457671240248
Sphere,32,3377.4457671240248
Sphere,33,3377.4457671240248
Sphere,34,3377.4457671240248
Sphere,35,3377.4457671240248
Sphere,36,3377.4457671240248
Sphere,37,3377.4457671240248
Sphere,38,3377.4457671240248
Sphere,39,3377.4457671240248
Sphere,40,3377.4457671240248
Sphere,41,3377.4457671240248
Sphere,42,3377.4457671240248
Sphere,43,3377.4457671240248
Sphere,44,3377.4457671240248
Sphere,45,3377.4457671240248
Sphere,46,3377.4457671240248
Sphere,47,3377.4457671240248
Sphere,48,3377.4457671240248
Sphere,49,3377.4457671240248
Sphere,50,3377.4457671240248
Sphere,51,3377.4457671240248
Sphere,52,3377.4457671240248
Sphere,53,3377.4457671240248
Sphere,54,3377.4457671240248
Sphere,55,3377.4457671240248
Sphere,56,3377.4457671240248
Sphere,57,3377.4457671240248
Sphere,58,3377.4457671240248
Sphere,59,3377.4457671240248
Sphere,60,3377.4457671240248
Sphere,61,3377.4457671240248
Sphere,62,3377.4457671240248
Sphere,63,3377.4457671240248
Sphere,64,3377.4457671240248
Sphere,65,3377.4457671240248
Sphere,66,3377.4457671240248
Sphere,67,3377.4457671240248
Sphere,68,3377.4457671240248
Sphere,69,3377.4457671240248
Sphere,70,3377.4457671240248
Sphere,71,3377.4457671240248
Sphere,72,3377.4457671240248
Sphere,73,3377.4457671240248
Sphere,74,3377.4457671240248
Sphere,75,3377.4457671240248
Sphere,76,3377.4457671240248
Sphere,77,3377.4457671240248
Sphere,78,3377.4457671240248
Sphere,79,3377.4457671240248
Sphere,80,3377.4457671240248
Sphere,81,3377.4457671240248
Sphere,82,3377.4457671240248
Sphere,83,3377.4457671240248
Sphere,84,3377.4457671240248
Sphere,85,3377.4457671240248
Sphere,86,3148.6716264802667
Sphere,87,3148.6716264802667
Sphere,88,3148.6716264802667
Sphere,89,3148.6716264802667
Sphere,90,3148.6716264802667
Sphere,91,3148.6716264802667
Sphere,92,3148.6716264802667
Sphere,93,3094.5178512628645
Sphere,94,3094.5178512628645
Sphere,95,3094.5178512628645
Sphere,96,3094.5178512628645
Sphere,97,3094.5178512628645
Sphere,98,3094.5178512628645
Sphere,99,3094.5178512628645
Sphere,100,3094.5178512628645
Sphere,101,3094.5178512628645
Sphere,102,3094.5178512628645
Sphere,103,3094.5178512628645
Sphere,104,3094.5178512628645
Sphere,105,3094.5178512628645
Sphere,106,3094.5178512628645
Sphere,107,3094.5178512628645
Sphere,108,3094.5178512628645
Sphere,109,3094.5178512628645
Sphere,110,3094.5178512628645
Sphere,111,3094.5178512628645
Sphere,112,3094.5178512628645
Sphere,113,3094.5178512628645
Sphere,114,3094.5178512628645
Sphere,115,3094.5178512628645
Sphere,116,3094.5178512628645
Sphere,117,3094.5178512628645
Sphere,118,3094.5178512628645
Sphere,119,3094.5178512628645
Sphere,120,3094.5178512628645
Sphere,121,3094.5178512628645
Sphere,122,3094.5178512628645
Sphere,123,3094.5178512628645
Sphere,124,3094.5178512628645
Sphere,125,3094.5178512628645
Sphere,126,3094.5178512628645
Sphere,127,3094.5178512628645
Sphere,128,3094.5178512628645
Sphere,129,3094.5178512628645
Sphere,130,3094.5178512628645
Sphere,131,3094.5178512628645
Sphere,132,3094.5178512628645
Sphere,133,3094.5178512628645
Sphere,134,3094.5178512628645
Sphere,135,3094.5178512628645
Sphere,136,3094.5178512628645
Sphere,137,3094.5178512628645
Sphere,138,3094.5178512628645
Sphere,139,3094.5178512628645
Sphere,140,3094.5178512628645
Sphere,141,3094.5178512628645
Sphere,142,3094.5178512628645
Sphere,143,3094.5178512628645
Sphere,144,3094.5178512628645
Sphere,145,3094.5178512628645
Sphere,146,3094.5178512628645
Sphere,147,3094.5178512628645
Sphere,148,3094.5178512628645
Sphere,149,3094.5178512628645
Sphere,150,3094.5178512628645
Sphere,151,3094.5178512628645
Sphere,152,3094.5178512628645
Sphere,153,3094.5178512628645
Sphere,154,3094.5178512628645
Sphere,155,3094.5178512628645
Sphere,156,3094.5178512628645
Sphere,157,3094.5178512628645
Sphere,158,3094.5178512628645
Sphere,159,3094.5178512628645
Sphere,160,2635.018574305258
Sphere,161,2635.018574305258
Sphere,162,2635.018574305258
Sphere,163,2635.018574305258
Sphere,164,2635.018574305258
Sphere,165,2635.018574305258
Sphere,166,2635.018574305258
Sphere,167,2635.018574305258
Sphere,168,2635.018574305258
Sphere,169,2635.018574305258
Sphere,170,2368.5215533882138
Sphere,171,2368.5215533882138
Sphere,172,2368.5215533882138
Sphere,173,2368.5215533882138
Sphere,174,2368.5215533882138
Sphere,175,2368.5215533882138
Sphere,176,2368.5215533882138
Sphere,177,2368.5215533882138
Sphere,178,2368.5215533882138
Sphere,179,2368.5215533882138
Sphere,180,1586.8442499036203
Sphere,181,1586.8442499036203
Sphere,182,1586.8442499036203
Sphere,183,1586.8442499036203
Sphere,184,1586.8442499036203
Sphere,185,1586.8442499036203
Sphere,186,1586.8442499036203
Sphere,187,1586.8442499036203
Sphere,188,1586.8442499036203
Sphere,189,1586.8442499036203
Sphere,190,1586.8442499036203
Sphere,191,1586.8442499036203
Sphere,192,1586.8442499036203
Sphere,193,1361.0875305923332
Sphere,194,1361.0875305923332
Sphere,195,1361.0875305923332
Sphere,196,1361.0875305923332
Sphere,197,1361.0875305923332
Sphere,198,1361.0875305923332
Sphere,199,1361.0875305923332
Sphere,200,1361.0875305923332
Sphere,201,1361.0875305923332
Sphere,202,1361.0875305923332
Sphere,203,1361.0875305923332
Sphere,204,1361.0875305923332
Sphere,205,1361.0875305923332
Sphere,206,1361.0875305923332
Sphere,207,1361.0875305923332
Sphere,208,1361.0875305923332
Sphere,209,1361.0875305923332
Sphere,210,1361.0875305923332
Sphere,211,1361.0875305923332
Sphere,212,1361.0875305923332
Sphere,213,1361.0875305923332
Sphere,214,1361.0875305923332
Sphere,215,977.8574460519305
Sphere,216,977.8574460519305
Sphere,217,977.8574460519305
Sphere,218,796.2533614944692
Sphere,219,796.2533614944692
Sphere,220,796.2533614944692
Sphere,221,796.2533614944692
Sphere,222,796.2533614944692
Sphere,223,796.2533614944692
Sphere,224,796.2533614944692
Sphere,225,796.2533614944692
Sphere,226,796.2533614944692
Sphere,227,796.2533614944692
Sphere,228,796.2533614944692
Sphere,229,796.2533614944692
Sphere,230,796.2533614944692
Sphere,231,796.2533614944692
Sphere,232,796.2533614944692
Sphere,233,796.2533614944692
Sphere,234,796.2533614944692
Sphere,235,796.2533614944692
Sphere,236,796.2533614944692
Sphere,237,796.2533614944692
Sphere,238,796.2533614944692
Sphere,239,796.2533614944692
Sphere,240,796.2533614944692
Sphere,241,796.2533614944692
Sphere,242,796.2533614944692
Sphere,243,796.2533614944692
Sphere,244,796.2533614944692
Sphere,245,796.2533614944692
Sphere,246,796.2533614944692
Sphere,247,490.5184322498994
Sphere,248,490.5184322498994
Sphere,249,490.5184322498994
Sphere,250,490.5184322498994
Sphere,251,490.5184322498994
Sphere,252,490.5184322498994
Sphere,253,490.5184322498994
Sphere,254,478.24948745730904
Sphere,255,478.24948745730904
Sphere,256,478.24948745730904
Sphere,257,478.24948745730904
Sphere,258,478.24948745730904
Sphere,259,478.24948745730904
Sphere,260,478.24948745730904
Sphere,261,416.58246722668645
Sphere,262,416.58246722668645
Sphere,263,416.58246722668645
Sphere,264,377.9813096375361
Sphere,265,377.9813096375361
Sphere,266,282.21772770067867
Sphere,267,282.21772770067867
Sphere,268,282.21772770067867
Sphere,269,282.21772770067867
Sphere,270,282.21772770067867
Sphere,271,282.21772770067867
Sphere,272,282.21772770067867
Sphere,273,282.21772770067867
Sphere,274,282.21772770067867
Sphere,275,282.21772770067867
Sphere,276,259.56317980350747
Sphere,277,259.56317980350747
Sphere,278,203.8353906218117
Sphere,279,119.07322792143898
Sphere,280,119.07322792143898
Sphere,281,119.07322792143898
Sphere,282,119.07322792143898
Sphere,283,119.07322792143898
Sphere,284,119.07322792143898
Sphere,285,119.07322792143898
Sphere,286,119.07322792143898
Sphere,287,119.07322792143898
Sphere,288,119.07322792143898
Sphere,289,76.80449637484158
Sphere,290,76.80449637484158
Sphere,291,76.80449637484158
Sphere,292,57.66287872686499
Sphere,293,57.66287872686499
Sphere,294,57.66287872686499
Sphere,295,50.238672484656234
Sphere,296,35.414524595259024
Sphere,297,29.19037939523256
Sphere,298,18.727201412239005
Sphere,299,11.053269168484096
Sphere,300,11.053269168484096
Rastrigin,1,135.4078097128686
Rastrigin,2,119.12298714055632
Rastrigin,3,119.12298714055632
Rastrigin,4,114.22215630806234
Rastrigin,5,114.22215630806234
Rastrigin,6,114.22215630806234
Rastrigin,7,114.22215630806234
Rastrigin,8,114.22215630806234
Rastrigin,9,114.22215630806234
Rastrigin,10,114.22215630806234
Rastrigin,11,110.24376857837741
Rastrigin,12,109.99287547640262
Rastrigin,13,109.99287547640262
Rastrigin,14,86.33261864146611
Rastrigin,15,86.33261864146611
Rastrigin,16,86.33261864146611
Rastrigin,17,86.33261864146611
Rastrigin,18,86.33261864146611
Rastrigin,19,86.33261864146611
Rastrigin,20,86.33261864146611
Rastrigin,21,86.33261864146611
Rastrigin,22,86.33261864146611
Rastrigin,23,86.33261864146611
Rastrigin,24,86.33261864146611
Rastrigin,25,86.33261864146611
Rastrigin,26,86.33261864146611
Rastrigin,27,86.33261864146611
Rastrigin,28,86.33261864146611
Rastrigin,29,86.33261864146611
Rastrigin,30,86.33261864146611
Rastrigin,31,86.33261864146611
Rastrigin,32,86.33261864146611
Rastrigin,33,86.33261864146611
Rastrigin,34,86.33261864146611
Rastrigin,35,86.33261864146611
Rastrigin,36,86.33261864146611
Rastrigin,37,86.33261864146611
Rastrigin,38,86.33261864146611
Rastrigin,39,86.33261864146611
Rastrigin,40,86.33261864146611
Rastrigin,41,86.33261864146611
Rastrigin,42,86.33261864146611
Rastrigin,43,86.33261864146611
Rastrigin,44,86.33261864146611
Rastrigin,45,86.33261864146611
Rastrigin,46,86.33261864146611
Rastrigin,47,86.33261864146611
Rastrigin,48,86.33261864146611
Rastrigin,49,86.33261864146611
Rastrigin,50,86.33261864146611
Rastrigin,51,86.33261864146611
Rastrigin,52,86.33261864146611
Rastrigin,53,86.33261864146611
Rastrigin,54,86.33261864146611
Rastrigin,55,86.33261864146611
Rastrigin,56,86.33261864146611
Rastrigin,57,86.33261864146611
Rastrigin,58,86.33261864146611
Rastrigin,59,86.33261864146611
Rastrigin,60,86.33261864146611
Rastrigin,61,86.33261864146611
Rastrigin,62,79.65823715612282
Rastrigin,63,79.65823715612282
Rastrigin,64,79.65823715612282
Rastrigin,65,79.65823715612282
Rastrigin,66,79.65823715612282
Rastrigin,67,79.65823715612282
Rastrigin,68,79.65823715612282
Rastrigin,69,79.65823715612282
Rastrigin,70,79.65823715612282
Rastrigin,71,79.65823715612282
Rastrigin,72,79.65823715612282
Rastrigin,73,79.65823715612282
Rastrigin,74,79.65823715612282
Rastrigin,75,79.65823715612282
Rastrigin,76,79.65823715612282
Rastrigin,77,79.65823715612282
Rastrigin,78,79.65823715612282
Rastrigin,79,79.65823715612282
Rastrigin,80,79.65823715612282
Rastrigin,81,79.65823715612282
Rastrigin,82,79.65823715612282
Rastrigin,83,79.65823715612282
Rastrigin,84,79.65823715612282
Rastrigin,85,79.65823715612282
Rastrigin,86,79.65823715612282
Rastrigin,87,79.65823715612282
Rastrigin,88,79.65823715612282
Rastrigin,89,79.65823715612282
Rastrigin,90,64.40983195752568
Rastrigin,91,64.40983195752568
Rastrigin,92,64.40983195752568
Rastrigin,93,64.40983195752568
Rastrigin,94,64.40983195752568
Rastrigin,95,64.40983195752568
Rastrigin,96,64.40983195752568
Rastrigin,97,64.40983195752568
Rastrigin,98,64.40983195752568
Rastrigin,99,64.40983195752568
Rastrigin,100,64.40983195752568
Rastrigin,101,64.40983195752568
Rastrigin,102,64.40983195752568
Rastrigin,103,64.40983195752568
Rastrigin,104,64.40983195752568
Rastrigin,105,64.40983195752568
Rastrigin,106,64.40983195752568
Rastrigin,107,64.40983195752568
Rastrigin,108,64.40983195752568
Rastrigin,109,64.40983195752568
Rastrigin,110,64.40983195752568
Rastrigin,111,64.40983195752568
Rastrigin,112,64.40983195752568
Rastrigin,113,64.40983195752568
Rastrigin,114,64.40983195752568
Rastrigin,115,64.40983195752568
Rastrigin,116,64.40983195752568
Rastrigin,117,64.40983195752568
Rastrigin,118,64.40983195752568
Rastrigin,119,64.40983195752568
Rastrigin,120,64.40983195752568
Rastrigin,121,64.40983195752568
Rastrigin,122,64.40983195752568
Rastrigin,123,64.40983195752568
Rastrigin,124,64.40983195752568
Rastrigin,125,64.40983195752568
Rastrigin,126,64.40983195752568
Rastrigin,127,64.40983195752568
Rastrigin,128,64.40983195752568
Rastrigin,129,64.40983195752568
Rastrigin,130,64.40983195752568
Rastrigin,131,64.40983195752568
Rastrigin,132,64.40983195752568
Rastrigin,133,64.40983195752568
Rastrigin,134,64.40983195752568
Rastrigin,135,64.40983195752568
Rastrigin,136,64.40983195752568
Rastrigin,137,64.40983195752568
Rastrigin,138,64.40983195752568
Rastrigin,139,64.40983195752568
Rastrigin,140,64.40983195752568
Rastrigin,141,64.40983195752568
Rastrigin,142,64.40983195752568
Rastrigin,143,64.40983195752568
Rastrigin,144,64.40983195752568
Rastrigin,145,64.40983195752568
Rastrigin,146,64.40983195752568
Rastrigin,147,64.40983195752568
Rastrigin,148,64.40983195752568
Rastrigin,149,64.40983195752568
Rastrigin,150,64.40983195752568
Rastrigin,151,64.40983195752568
Rastrigin,152,64.40983195752568
Rastrigin,153,64.40983195752568
Rastrigin,154,64.40983195752568
Rastrigin,155,64.40983195752568
Rastrigin,156,64.40983195752568
Rastrigin,157,64.40983195752568
Rastrigin,158,64.40983195752568
Rastrigin,159,64.40983195752568
Rastrigin,160,64.40983195752568
Rastrigin,161,64.40983195752568
Rastrigin,162,64.40983195752568
Rastrigin,163,64.40983195752568
Rastrigin,164,64.40983195752568
Rastrigin,165,64.40983195752568
Rastrigin,166,64.40983195752568
Rastrigin,167,64.40983195752568
Rastrigin,168,64.40983195752568
Rastrigin,169,64.40983195752568
Rastrigin,170,64.40983195752568
Rastrigin,171,64.40983195752568
Rastrigin,172,64.40983195752568
Rastrigin,173,63.70336347132713
Rastrigin,174,63.70336347132713
Rastrigin,175,63.70336347132713
Rastrigin,176,63.70336347132713
Rastrigin,177,63.70336347132713
Rastrigin,178,63.70336347132713
Rastrigin,179,63.70336347132713
Rastrigin,180,63.70336347132713
Rastrigin,181,63.70336347132713
Rastrigin,182,63.70336347132713
Rastrigin,183,63.70336347132713
Rastrigin,184,63.70336347132713
Rastrigin,185,60.51124724184366
Rastrigin,186,60.51124724184366
Rastrigin,187,60.51124724184366
Rastrigin,188,60.51124724184366
Rastrigin,189,60.51124724184366
Rastrigin,190,60.51124724184366
Rastrigin,191,60.51124724184366
Rastrigin,192,60.51124724184366
Rastrigin,193,60.51124724184366
Rastrigin,194,60.51124724184366
Rastrigin,195,60.51124724184366
Rastrigin,196,60.51124724184366
Rastrigin,197,60.51124724184366
Rastrigin,198,60.51124724184366
Rastrigin,199,60.51124724184366
Rastrigin,200,60.51124724184366
Rastrigin,201,60.51124724184366
Rastrigin,202,60.51124724184366
Rastrigin,203,60.51124724184366
Rastrigin,204,60.51124724184366
